x,y,z
1.0,1.0,1.0
1.0125017307654962,1.2600047261929894,0.9848906641746467
1.0487474842527393,1.524096707568219,0.9731175133902338
1.1072189224585736,1.7982995614431165,0.9651706810879358
1.1868850188223223,2.0885262443344654,0.9617602553912217
1.287373814606727,2.400410562820716,0.9638783084145062
1.4092757421494975,2.738938682408368,0.9726841095289868
1.5535123641549449,3.1093865175606186,0.9897657322730741
1.7212382154179262,3.5174694415848338,1.0171966792084755
1.9138408028238452,3.9693422866325556,1.0575358819201945
2.1331620412079135,4.471211587057762,1.1142794774719262
2.381936467662129,5.029356612596763,1.1911052924359877
2.663247781283959,5.650577102228882,1.292516819172035
2.9804338098390133,6.341893942838958,1.4248693666705745
3.3370865385184496,7.110549028628652,1.5963703408341061
3.7370521099389764,7.964005261116466,1.8170792444771235
4.184413841298717,8.909868262120938,2.09892374691982
4.6813283146501155,9.944933646878223,2.4585156272388735
5.233929409024489,11.07994406400689,2.9135924957426464
5.849745741967674,12.33020821533255,3.483628607109007
6.534307404392343,13.70066191902498,4.192511732927025
7.291145960578003,15.185868109598136,5.068543161696973
8.121794448171004,16.77001683791016,6.144437698830339
9.025787378184525,18.426925271163352,7.457323666649797
10.00066073499859,20.120037692904212,9.048742904389238
11.041951976360057,21.8024255030234,10.964650768193765
12.143101893551183,23.416967148796857,13.254798564336005
13.288038122775786,24.891009717452786,15.935387534336677
14.45161380679597,26.10159910373173,19.00731110450334
15.60230588702712,26.921657924585798,22.44617759499714
16.700022731001297,27.2347911713027,26.18301050001915
17.696104132367196,26.93528620950571,30.10424848781028
18.53437626976946,25.924746372361444,34.053877956553215
19.16446794547114,24.13194098626496,37.8441512821702
19.530673713261518,21.664408369844622,41.23474874863379
19.593583655417262,18.665361900101114,44.032605402431805
19.336528547071506,15.279504776171775,46.111306236866234
18.7655798562138,11.653030019330512,47.41108619205323
17.90641646189223,7.949043885296373,47.93500340676735
16.786029721689616,4.432841317944963,47.73470925559858
15.45546456335665,1.275248591356176,46.93182167135044
13.971900070031523,-1.4270824281116568,45.67300970685349
12.394613880081572,-3.634945546743589,44.12347404084903
10.78180475862984,-5.3640971202892835,42.44559173107687
9.179210144868373,-6.6626960831454625,40.73522775734254
7.624047152803222,-7.589904705538367,39.06956917021641
6.14405875858437,-8.212449500199693,37.50239376185259
4.75751772543835,-8.603894085526086,36.06348160033621
3.4751668199315824,-8.822617413643076,34.762582551728784
2.300095269487501,-8.912540125378285,33.596385024486935
1.2319829488827474,-8.912661991279457,32.55754611432969
0.2682411371197748,-8.854450238257048,31.636263693825768
-0.5959874825731424,-8.761839549584241,30.820276412393596
-1.3678440060853694,-8.651438846009315,30.0950411122606
-2.0560203615793844,-8.536509839812394,29.44870974646042
-2.6680796372830047,-8.425073682065824,28.871763119564942
-3.211321509932324,-8.3227413097946,28.355286588372568
-3.6930870836354233,-8.234081766709485,27.89157425354096
-4.120758889872366,-8.162622203207022,27.474128959587027
-4.50176088749522,-8.110847876369515,27.097662294886916
-4.843539639070505,-8.080039102397423,26.757946798265106
-5.152150400716495,-8.06925909875421,26.45132165258979
-5.431523857971652,-8.07770478577472,26.176124242240576
-5.685406556601692,-8.104629549177941,25.93101017049613
-5.9175197552481595,-8.149142448368828,25.714660177690387
-6.131559425428426,-8.210208216438287,25.525780141212554
-6.331196251535694,-8.28664726016319,25.363101075507114
-6.520075630838993,-8.377135660006367,25.22537913207381
-6.701575294312229,-8.480143320246162,25.111570851296626
-6.876928610780956,-8.593819269829897,25.022173712136446
-7.046989834192012,-8.716636429515258,24.95778647356523
-7.212660419936715,-8.846991693357229,24.91869063376136
-7.374772419491684,-8.983138819508495,24.904930636775447
-7.5340884804188315,-9.123188430219441,24.91631387253026
-7.691301846365367,-9.265108011838151,24.95241067682078
-7.8470363570638035,-9.406721914810408,25.012554331314174
-8.001844323962949,-9.545716761914363,25.095842225859794
-8.155694884821214,-9.680263769066563,25.201497949217675
-8.307712971872661,-9.808292229849053,25.329158377687225
-8.457003608967463,-9.927426472136744,25.47814037371955
-8.602662848294996,-10.035443286643101,25.647371838824803
-8.743777770383833,-10.130271926920141,25.83539171357217
-8.879426484101746,-10.209994109358435,26.040349977589905
-9.008678126655704,-10.272844013187113,26.26000764956529
-9.130592863591879,-10.31720828047385,26.491736787244648
-9.244221888795641,-10.341626016124883,26.732520487433373
-9.348607424491558,-10.344788787884998,26.97895288599588
-9.442887185420325,-10.325460342883042,27.22779411016527
-9.52605036806749,-10.283105224892191,27.47660341436211
-9.596580713773298,-10.218363270777713,27.72146039942192
-9.65321311334488,-10.13211724051381,27.958632293033784
-9.694970113889276,-10.025451754981695,28.184693820156436
-9.721161918813426,-9.899653295969589,28.396527203018323
-9.731386387824164,-9.756210206172721,28.59132216111756
-9.725529036928231,-9.596812689193326,28.766575911221953
-9.703763038432266,-9.423352809540654,28.92009316736899
-9.666549220942809,-9.23792449263096,29.049986140865844
-9.614636069366295,-9.042823524787503,29.154674540289378
-9.54905972490907,-8.840547553240558,29.23288557148613
-9.471134921380614,-8.633805671509247,29.28366243154775
-9.38131376760587,-8.426557595306669,29.307385238135442
-9.280391290378766,-8.222105896103237,29.30445282811503
-9.16990670939157,-8.022731433391709,29.274915942041023
-9.05139767405178,-7.830549482824521,29.219194665482938
-8.926400263482126,-7.647509736213783,29.138078429025295
-8.796448986520572,-7.475396301531283,29.03272600826763
-8.663076781720312,-7.3158277029084875,28.904665523824473
-8.52781501734977,-7.170256880636536,28.755794441325374
-8.392193491392602,-7.039971191166248,28.588379571414876
-8.257740431547695,-6.926092407108117,28.405057069752544
-8.125982495229172,-6.829576717232316,28.208832437012937
-7.998444769566377,-6.7512147264686915,28.003080518885625
